Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
"f2412ab8-8cbe-422c-a98d-6e021e9d2f23,""2020-08-02, 03:57:34 PM"",CloudTrail,DescribeConfigurationRecorders,,,,us-east-1,AccessDenied,177.45.29.113"
"f79e8bd3-a80d-45d3-b554-4065322d4e8f,""2020-08-02, 03:57:34 PM"",CloudTrail,LookupEvents,,,,us-east-1,,177.45.29.113"
"862108d2-91f7-4b00-979f-52290f713e3c,""2020-08-02, 03:57:29 PM"",CloudTrail,DescribeConfigurationRecorders,,,,us-east-1,AccessDenied,177.45.29.113"
"98cfbb8c-7460-40a8-9fbc-89a14bba7095,""2020-08-02, 03:57:28 PM"",CloudTrail,LookupEvents,,,,us-east-1,,177.45.29.113"
"a30ce68c-1a3c-4d91-95e4-9ed30d265e53,""2020-08-02, 03:57:05 PM"",CloudTrail,DescribeConfigurationRecorders,,,,us-east-1,AccessDenied,177.45.29.113"
"d36e7844-bd94-4876-acb6-5914ccafad59,""2020-08-02, 03:57:04 PM"",CloudTrail,LookupEvents,,,,us-east-1,,177.45.29.113"
"085953b3-b555-4926-99d9-60d415a48596,""2020-08-02, 03:56:49 PM"",CloudTrail,DescribeConfigurationRecorders,,,,us-east-1,AccessDenied,177.45.29.113"
"5c1c8d49-4390-43b6-bdb3-96b3f5dca70d,""2020-08-02, 03:56:49 PM"",CloudTrail,LookupEvents,,,,us-east-1,,177.45.29.113"
"75afa7ce-b513-47d4-a4d0-826abab391c1,""2020-08-02, 03:56:06 PM"",CloudTrail,DescribeConfigurationRecorders,,,,us-east-1,AccessDenied,177.45.29.113"
"29aa5596-2fbc-47f8-bcb1-0644316249ac,""2020-08-02, 03:56:05 PM"",CloudTrail,LookupEvents,,,,us-east-1,,177.45.29.113"
"041010b2-f110-49e9-8c41-522f751f706f,""2020-08-02, 03:55:49 PM"",CloudTrail,DescribeConfigurationRecorders,,,,us-east-1,AccessDenied,177.45.29.113"
"9eed833c-0ef7-4044-9a9c-971d6f97fe9c,""2020-08-02, 03:55:49 PM"",CloudTrail,DescribeConfigurationRecorders,,,,us-east-1,AccessDenied,177.45.29.113"
"1b30f10f-712c-4346-8d2d-f8f8852b2eb8,""2020-08-02, 03:55:48 PM"",CloudTrail,DescribeTrails,,,,us-east-1,,177.45.29.113"
"4414159a-45d6-451f-9155-ac7b29ab46af,""2020-08-02, 03:55:48 PM"",CloudTrail,LookupEvents,,,,us-east-1,,177.45.29.113"
